"lon","lat","type"
149.618287502456,-15.7239102026749,"cay"
149.995268680762,-16.1121926026917,"cay"
149.992388638639,-16.2133618943456,"cay"
149.964474599664,-16.2871815165574,"cay"
147.8732861221,-16.468593520272,"cay"
147.845443577451,-16.5037509851037,"cay"
150.286688702129,-16.5270722467771,"cay"
150.337098522201,-16.6040850068568,"cay"
150.003706520914,-16.9371332326635,"cay"
149.19893450091,-16.9428201667308,"cay"
149.907253136966,-16.9682153214812,"cay"
149.133965123047,-16.9844344452679,"cay"
151.89264458963,-17.1080187841995,"cay"
151.923730256022,-17.1115040171975,"cay"
151.876653815626,-17.1108330066501,"cay"
152.0038256183,-17.116372232494,"cay"
152.082253101898,-17.1173815090446,"cay"
152.052989597011,-17.1195450392569,"cay"
151.833040793985,-17.1253195211532,"cay"
151.765668914346,-17.174873609369,"cay"
151.745009359895,-17.2039281707788,"cay"
152.064650835978,-17.3217596997996,"cay"
151.528362656275,-17.3653193804683,"cay"
152.009284788461,-17.384986658459,"cay"
155.870197785583,-17.402251530209,"cay"
151.852102554925,-17.412416565695,"cay"
151.872189723636,-17.4153738755101,"cay"
150.807438411108,-17.428550844953,"cay"
151.819555190472,-17.4349557372632,"cay"
151.074176090641,-17.4409672087593,"cay"
151.795662672012,-17.4433130631899,"cay"
150.944031102889,-17.4548429192129,"cay"
151.756557544553,-17.4725508615617,"cay"
151.651150014979,-17.55231628832,"cay"
151.596226174771,-17.576580731092,"cay"
151.573844088411,-17.5812089127253,"cay"
151.502258828764,-17.5966019986838,"cay"
151.413830054041,-17.643963344663,"cay"
150.828131540906,-17.6587787586069,"cay"
148.447833526518,-17.7196068167509,"cay"
152.390979572824,-19.0954553103946,"cay"
152.347173110509,-19.2558503263438,"cay"
154.375304469752,-21.0215803104797,"cay"
155.789670359447,-21.2444299066087,"cay"
155.771138265259,-21.255391841806,"cay"
155.71029458801,-21.2739979914109,"cay"
153.766172073519,-21.6592865000132,"cay"
153.517195914487,-21.8511481306027,"cay"
155.459410748545,-22.1709545437347,"cay"
155.176224850504,-22.1886985349132,"cay"
155.350942398773,-22.1907961027261,"cay"
155.248369700891,-22.2130048762188,"cay"
155.539974124784,-23.2507992423785,"cay"
149.162016772756,-15.8859787044341,"cay"
149.165069445379,-15.8844435726563,"cay"
149.19456368311,-15.9702286810797,"cay"
146.636160281975,-13.9150827462906,"dryreef"
146.555449155091,-13.8934740239752,"dryreef"
146.559506554693,-13.8972501965246,"dryreef"
146.561563593533,-13.8992051556895,"dryreef"
147.114814258255,-15.4982061368822,"dryreef"
149.619758073579,-15.7248659918806,"dryreef"
150.008943948246,-16.1229280931341,"dryreef"
150.010544814496,-16.1762283482616,"dryreef"
149.993560682177,-16.2136614790024,"dryreef"
149.96707112507,-16.2942734623303,"dryreef"
